@relation diggle-Table_A2_Wool_prices-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute col_1 {76,77,78,79,80,81,82,83,84}
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute col_6 numeric
@attribute col_7 numeric
@attribute col_8 numeric
@attribute col_9 numeric

@data
81,9,269,419,524,1.2506,6.0379,6.2615,0.2236
81,10,270,417,523,1.2542,6.0331,6.2596,0.2265
81,11,271,411,519,1.2628,6.0186,6.2519,0.2333
81,12,272,406,519,1.2783,6.0064,6.2519,0.2455
81,13,273,410,533,1.3,6.0162,6.2785,0.2623
81,14,274,409,540,1.3203,6.0137,6.2916,0.2779
81,15,275,411,540,1.3139,6.0186,6.2916,0.273
81,18,278,413,543,1.3148,6.0234,6.2971,0.2737
81,19,279,415,543,1.3084,6.0283,6.2971,0.2688
81,20,280,419,546,1.3031,6.0379,6.3026,0.2647
81,21,281,423,541,1.279,6.0474,6.2934,0.246
81,22,282,422,539,1.2773,6.045,6.2897,0.2447
81,23,283,425,539,1.2682,6.0521,6.2897,0.2376
81,25,285,428,539,1.2593,6.0591,6.2897,0.2306
81,26,286,427,543,1.2717,6.0568,6.2971,0.2403
81,31,291,427,543,1.2717,6.0568,6.2971,0.2403
81,35,295,425,543,1.2776,6.0521,6.2971,0.245
81,36,296,423,518,1.2246,6.0474,6.25,0.2026
81,37,297,422,519,1.2299,6.045,6.2519,0.2069
81,39,299,422,519,1.2299,6.045,6.2519,0.2069
81,40,300,420,519,1.2357,6.0403,6.2519,0.2116
81,41,301,421,522,1.2399,6.0426,6.2577,0.2151
81,42,302,421,523,1.2423,6.0426,6.2596,0.217
81,43,303,418,520,1.244,6.0355,6.2538,0.2183
81,44,304,421,522,1.2399,6.0426,6.2577,0.2151
81,45,305,420,520,1.2381,6.0403,6.2538,0.2135
81,46,306,422,524,1.2417,6.045,6.2615,0.2165
81,47,307,424,523,1.2335,6.0497,6.2596,0.2099
81,48,308,425,523,1.2306,6.0521,6.2596,0.2075
81,49,309,423,522,1.234,6.0474,6.2577,0.2103
81,50,310,422,522,1.237,6.045,6.2577,0.2127
81,51,311,422,524,1.2417,6.045,6.2615,0.2165
82,3,315,423,524,1.2388,6.0474,6.2615,0.2141
82,4,316,423,530,1.253,6.0474,6.2729,0.2255
82,5,317,427,535,1.2529,6.0568,6.2823,0.2255
82,6,318,428,535,1.25,6.0591,6.2823,0.2232
82,7,319,437,544,1.2449,6.0799,6.2989,0.219
82,8,320,441,550,1.2472,6.089,6.3099,0.2209
82,9,321,440,550,1.25,6.0868,6.3099,0.2231
82,10,322,445,554,1.2449,6.0981,6.3172,0.2191
82,11,323,446,561,1.2578,6.1003,6.3297,0.2294
82,12,324,443,579,1.307,6.0936,6.3613,0.2677
82,13,325,445,579,1.3011,6.0981,6.3613,0.2632
82,14,326,444,582,1.3108,6.0958,6.3665,0.2707
82,18,330,446,585,1.3117,6.1003,6.3716,0.2713
82,19,331,445,581,1.3056,6.0981,6.3648,0.2667
82,20,332,443,581,1.3115,6.0936,6.3648,0.2712
82,21,333,442,581,1.3145,6.0913,6.3648,0.2735
82,22,334,446,580,1.3004,6.1003,6.363,0.2627
82,23,335,448,579,1.2924,6.1048,6.3613,0.2565
82,24,336,449,579,1.2895,6.107,6.3613,0.2543
82,25,337,445,579,1.3011,6.0981,6.3613,0.2632
82,26,338,443,579,1.307,6.0936,6.3613,0.2677
82,27,339,437,579,1.3249,6.0799,6.3613,0.2814
82,30,342,439,579,1.3189,6.0845,6.3613,0.2768
82,34,346,433,572,1.321,6.0707,6.3491,0.2784
82,35,347,431,572,1.3271,6.0661,6.3491,0.283
82,36,348,430,572,1.3302,6.0638,6.3491,0.2853
82,37,349,437,576,1.3181,6.0799,6.3561,0.2762
82,38,350,435,576,1.3241,6.0753,6.3561,0.2808
82,39,351,433,561,1.2956,6.0707,6.3297,0.259
82,40,352,432,561,1.2986,6.0684,6.3297,0.2613
82,41,353,432,553,1.2801,6.0684,6.3154,0.247
82,42,354,431,558,1.2947,6.0661,6.3244,0.2583
82,43,355,432,553,1.2801,6.0684,6.3154,0.247
82,44,356,432,547,1.2662,6.0684,6.3044,0.236
82,45,357,432,562,1.3009,6.0684,6.3315,0.2631
82,46,358,432,565,1.3079,6.0684,6.3368,0.2684
82,47,359,430,564,1.3116,6.0638,6.3351,0.2713
82,48,360,427,551,1.2904,6.0568,6.3117,0.2549
82,49,361,426,549,1.2887,6.0544,6.3081,0.2537
82,50,362,426,549,1.2887,6.0544,6.3081,0.2537
83,2,366,429,556,1.296,6.0615,6.3208,0.2593
83,3,367,432,563,1.3032,6.0684,6.3333,0.2649
83,4,368,435,579,1.331,6.0753,6.3613,0.286
83,5,369,438,580,1.3242,6.0822,6.363,0.2808
83,6,370,438,582,1.3288,6.0822,6.3665,0.2843
83,7,371,436,577,1.3234,6.0776,6.3578,0.2802
83,8,372,435,578,1.3287,6.0753,6.3596,0.2843
83,9,373,435,576,1.3241,6.0753,6.3561,0.2808
83,10,374,471,626,1.3291,6.1549,6.4394,0.2845
83,11,375,471,628,1.3333,6.1549,6.4425,0.2876
83,12,376,466,641,1.3755,6.1442,6.463,0.3188
83,13,377,467,623,1.334,6.1463,6.4345,0.2882
83,17,381,470,639,1.3596,6.1527,6.4599,0.3072
83,18,382,470,643,1.3681,6.1527,6.4661,0.3134
83,19,383,470,632,1.3447,6.1527,6.4489,0.2962
83,20,384,468,632,1.3504,6.1485,6.4489,0.3004
83,21,385,467,632,1.3533,6.1463,6.4489,0.3026
83,22,386,472,635,1.3453,6.157,6.4536,0.2966
83,23,387,473,635,1.3425,6.1591,6.4536,0.2945
83,24,388,474,644,1.3586,6.1612,6.4677,0.3065
83,25,389,471,642,1.3631,6.1549,6.4646,0.3097
83,30,394,481,638,1.3264,6.1759,6.4583,0.2824
83,34,398,481,627,1.3035,6.1759,6.4409,0.265
83,35,399,481,627,1.3035,6.1759,6.4409,0.265
83,36,400,481,624,1.2973,6.1759,6.4362,0.2603
83,37,401,482,627,1.3008,6.1779,6.4409,0.263
83,38,402,482,627,1.3008,6.1779,6.4409,0.263
83,39,403,482,633,1.3133,6.1779,6.4505,0.2726
83,40,404,481,624,1.2973,6.1759,6.4362,0.2603
83,41,405,480,620,1.2917,6.1738,6.4297,0.2559
83,42,406,479,617,1.2881,6.1717,6.4249,0.2532
83,43,407,477,620,1.2998,6.1675,6.4297,0.2622
83,44,408,477,625,1.3103,6.1675,6.4378,0.2703
83,45,409,477,620,1.2998,6.1675,6.4297,0.2622
83,46,410,476,624,1.3109,6.1654,6.4362,0.2708
83,47,411,476,623,1.3088,6.1654,6.4345,0.2691
83,48,412,476,627,1.3172,6.1654,6.4409,0.2755
83,49,413,475,628,1.3221,6.1633,6.4425,0.2792
83,50,414,476,636,1.3361,6.1654,6.4552,0.2898
84,2,418,480,649,1.3521,6.1738,6.4754,0.3016
84,3,419,483,671,1.3892,6.18,6.5088,0.3288
84,4,420,488,717,1.4693,6.1903,6.5751,0.3848
84,5,421,490,748,1.5265,6.1944,6.6174,0.423
84,6,422,488,726,1.4877,6.1903,6.5876,0.3973
84,7,423,490,754,1.5388,6.1944,6.6254,0.431
84,8,424,490,754,1.5388,6.1944,6.6254,0.431
84,9,425,493,791,1.6045,6.2005,6.6733,0.4728
84,10,426,490,775,1.5816,6.1944,6.6529,0.4585
84,11,427,490,773,1.5776,6.1944,6.6503,0.4559
84,12,428,487,770,1.5811,6.1883,6.6464,0.4581
84,13,429,492,786,1.5976,6.1985,6.667,0.4685
84,14,430,495,786,1.5879,6.2046,6.667,0.4624
84,18,434,494,786,1.5911,6.2025,6.667,0.4645
84,19,435,496,786,1.5847,6.2066,6.667,0.4604
84,20,436,495,786,1.5879,6.2046,6.667,0.4624
84,21,437,495,786,1.5879,6.2046,6.667,0.4624
84,22,438,497,786,1.5815,6.2086,6.667,0.4584
84,25,441,496,786,1.5847,6.2066,6.667,0.4604
84,26,442,499,786,1.5752,6.2126,6.667,0.4544
