@relation chscase-census6-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute col_6 numeric
@attribute col_7 numeric

@data
11.4558,13.8586,4.7015,7.9773,12.8247,8.5434,12.2782
3.0823,3.8867,5.8517,9.5827,15.1612,9.3781,16.61
1.0748,22.7451,11.1205,12.0508,14.0235,10.4056,11.1586
3.5751,7.787,24.7551,7.2944,9.0907,9.706,9.9096
18.4074,11.5434,8.6047,10.2246,10.7818,10.2347,10.1577
2.8581,2.827,8.0575,6.0858,9.767,22.7417,13.4059
24.5317,10.9294,8.8608,10.8354,15.182,10.064,12.1987
4.3522,3.9047,6.1817,11.3275,10.3708,9.1149,11.1518
8.9506,12.1061,6.5731,11.6178,9.1425,11.003,16.5611
15.311,4.3538,8.2501,7.9642,9.7597,10.5063,12.1562
7.7555,6.9946,6.9119,10.7988,11.9458,9.7114,10.8466
4.8939,9.0371,6.0939,6.6527,8.6652,8.7998,11.9834
2.3674,9.8888,8.9643,14.4895,9.3834,10.4613,15.111
2.0916,6.6219,10.8899,13.0148,9.3592,9.7395,14.9675
0.804,10.6575,4.4002,8.8055,7.5198,11.4977,11.9339
13.0292,10.4893,4.4964,11.7568,16.3469,9.2152,14.4669
6.3109,11.3727,8.6194,11.5226,11.3417,12.9886,13.2537
5.8244,11.6358,11.348,7.2839,16.0846,22.4831,13.5038
10.2488,10.7072,9.3573,12.8667,7.5291,12.2836,11.7639
4.442,14.5975,8.0177,10.8864,15.8307,10.1546,13.7182
7.6078,8.1797,7.8864,11.2861,8.6099,15.5208,11.6279
5.7481,4.7145,13.5392,11.5195,10.9165,10.4194,12.1447
4.1981,10.5787,12.6823,13.9207,8.608,11.0301,12.4487
21.9005,4.1148,10.7802,14.8788,9.5345,10.7308,13.0993
2.5343,5.9883,23.5489,10.3527,10.7627,16.984,13.9936
8.3092,6.793,9.5073,8.6665,11.1781,11.9891,10.8747
17.6685,5.0669,64.5758,13.3149,8.0287,12.4747,13.916
4.6231,10.5856,15.7565,8.8943,10.246,9.6355,9.5074
22.5001,12.8111,11.375,9.2511,15.4528,16.2699,15.4608
14.6944,30.0705,22.5303,14.4889,8.718,8.589,10.6793
0.1301,9.4408,12.3041,6.6113,8.5346,10.042,14.7548
6.8462,16.0949,10.4589,41.3163,8.0006,9.3457,9.9521
1.5238,7.0465,8.4316,8.8537,11.2694,11.3322,13.0223
1.6377,4.5372,6.2476,25.8485,11.5424,12.5816,10.4491
3.8389,16.6503,16.4669,17.7627,8.5729,13.9304,12.2092
4.0722,2.9686,5.0279,41.0068,8.1115,8.3861,11.2791
3.6762,17.819,5.3573,6.2149,15.1651,10.9215,12.089
17.6253,7.3664,8.0149,9.544,17.3737,8.3529,11.2182
1.9679,10.3223,13.8781,8.962,13.7128,10.539,13.3112
16.8829,11.4596,23.0559,13.3526,11.0399,12.7174,13.1017
25.2154,12.3688,11.7371,21.5885,10.0606,14.002,12.2209
31.6395,6.5724,7.9757,7.5441,10.6188,11.3889,12.0106
46.2787,6.4421,10.6689,8.0091,14.1196,11.5461,12.1442
12.8227,29.5599,6.5022,17.5427,8.9086,11.6014,12.4685
13.2533,7.7544,10.9716,9.1616,15.4446,13.2117,10.6686
9.1379,8.3758,8.5002,15.4391,10.5003,8.9446,13.0892
10.0367,6.9447,8.3678,7.7081,10.7877,8.7331,15.3822
3.4323,15.3788,6.8123,10.549,12.568,9.9087,14.2983
6.3336,13.2146,10.1734,7.8583,9.8131,9.9531,11.4696
1.999,8.6324,4.876,10.4263,11.868,11.1398,11.7583
0.4921,14.9034,13.9747,14.8698,10.0893,10.2935,11.3324
3.6607,6.3704,18.096,9.3268,11.4224,11.7901,11.9279
0.4639,3.9211,7.3734,6.8203,24.2419,10.9288,13.2627
11.1426,7.9089,11.963,8.2471,22.8288,9.6894,13.0354
12.4465,12.7075,5.754,7.5589,9.1114,10.3276,10.9372
8.7809,1.98,11.4822,11.6414,8.6333,10.7549,12.9191
3.7915,9.2592,6.3454,15.3362,11.8687,14.4362,10.6698
9.3989,11.1545,19.7269,12.0927,10.6115,11.1042,12.9591
15.1222,4.763,8.3613,7.4973,11.6495,9.603,11.1854
0.6392,12.6588,10.0679,6.5909,9.7701,10.0901,12.2628
9.4271,8.5631,5.9521,8.332,10.108,22.1808,10.708
9.2235,4.9091,7.9385,7.5885,8.8558,11.9266,10.6797
2.2684,7.6314,9.4071,8.8819,10.0513,9.6354,15.3165
5.4122,7.8422,9.6408,13.1693,12.7481,10.4166,12.2983
11.9572,13.2366,6.3407,7.3819,10.1874,15.5507,10.5223
5.0162,5.8355,9.909,20.1498,10.0531,9.342,12.5253
4.9992,6.7955,10.2226,8.773,17.3093,14.2922,13.1382
9.4519,16.076,8.4283,14.0683,9.5874,13.5521,13.1035
3.7844,1.418,10.3797,11.0758,9.5908,15.1541,14.405
7.3978,14.1327,8.3229,7.6934,29.5683,12.9919,12.1549
20.6921,10.5602,13.8121,8.7461,10.1231,10.2815,11.0067
13.0157,16.2304,13.2085,8.7526,10.0765,11.1302,11.0886
11.9247,7.8318,15.9283,6.6745,16.3813,11.0988,12.0474
0.7863,11.908,12.2703,8.5283,9.6093,11.9303,13.9148
14.2687,6.2315,9.1519,11.3582,9.4688,11.3333,11.3822
0.3712,14.5021,7.9442,12.2718,7.6968,11.949,13.546
16.8207,13.9918,10.6655,6.127,8.0336,7.6178,11.2969
21.4133,11.9329,8.5374,22.6644,12.4995,12.6031,13.6107
9.6435,4.1408,9.4314,7.2817,8.5287,15.1391,12.5536
5.9545,13.6406,16.5216,10.8,8.4272,13.3364,11.3733
9.7362,11.4115,8.4098,8.2677,10.9941,15.1676,11.4905
5.3648,2.3459,8.2328,9.7394,9.4079,10.9446,11.0178
4.2582,14.0064,7.4394,11.8643,9.601,11.1006,12.1746
7.4614,12.3712,10.3068,21.4937,16.8752,22.6933,11.5912
7.0159,10.1929,12.4975,14.2934,9.4706,17.2949,12.6146
0.5643,4.3168,10.3624,15.3463,17.4879,10.6527,11.2867
6.9657,5.084,8.8179,10.636,10.7235,12.9339,13.5694
3.1947,9.7287,6.4772,15.8926,8.7115,10.6061,14.8426
0.0269,8.9211,9.233,11.4056,11.8925,11.2415,13.4054
0.5261,14.0428,11.1366,9.3699,10.1381,10.5672,9.8883
1.2141,8.2472,10.0103,10.1667,11.2661,10.4986,14.0955
10.683,8.2853,20.1849,18.5169,12.1466,11.5513,10.1325
13.0659,6.9725,11.7862,10.2106,12.756,12.7965,14.9022
5.3839,4.7523,8.2094,13.4052,9.9968,10.6441,12.0429
5.4857,5.3777,21.2943,12.3092,8.2982,14.4313,13.2132
1.1441,7.085,5.5363,11.3462,11.4883,10.4842,12.8443
5.193,10.8669,17.5795,9.6494,11.7873,18.1717,11.0801
6.2636,7.1978,10.061,11.9592,16.4911,22.2916,11.9938
6.9098,7.0224,28.1001,11.5079,13.4534,12.9578,19.8204
2.8581,3.0897,5.3645,10.7809,22.8417,16.8815,13.0926
8.1904,24.0347,19.2384,13.7319,11.2893,11.3497,14.0037
15.562,10.3412,7.7846,12.0311,10.5856,10.6885,13.9589
5.4419,15.5734,13.1146,8.8565,5.5331,10.4772,10.831
9.116,6.8511,13.239,6.5911,9.2595,10.4314,12.9731
13.382,2.6387,64.7902,9.9426,11.8622,11.7785,12.4864
5.7863,5.5921,14.4293,14.3105,14.2354,9.8646,11.6746
3.8735,4.9331,7.9435,6.3757,11.7698,12.9974,10.6942
0.1336,4.9928,14.7277,7.781,11.7374,10.2552,12.2559
17.7689,10.7516,7.3461,17.0938,11.0859,12.734,11.9601
99.9078,5.0787,9.8918,9.7055,10.3413,10.1865,14.1488
0.1273,8.3178,11.0432,8.2627,16.2812,12.4748,12.0076
16.7351,2.214,11.0397,9.0847,8.9844,11.4919,12.1901
7.0357,6.3537,10.6918,9.1026,8.6626,22.768,14.5927
0.5459,14.1497,17.6064,9.8797,23.5263,13.9806,10.9523
14.7665,11.6807,14.0203,9.3321,8.6501,10.6714,14.5559
8.4471,4.8923,8.4223,14.1787,11.3199,8.6783,14.0761
8.7702,8.2924,8.6631,10.6033,8.1527,10.9207,13.7294
0.3946,10.6068,9.3303,9.8181,8.6568,10.7351,11.5587
13.5305,79.4687,15.0184,8.6349,9.329,9.0389,12.9994
4.4972,5.1262,11.1142,11.392,17.766,11.6361,11.6299
2.8235,5.0169,6.5798,9.9615,10.1482,16.2554,11.2399
7.4925,15.6306,9.5966,10.8527,8.3708,9.2986,13.6337
