@relation visualizing-galaxy-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute eastwest numeric
@attribute northsouth numeric
@attribute angle numeric
@attribute radialposition numeric
@attribute velocity numeric

@data
-11.129774,-2.467412,12.5,-11.4,1572
-13.277626,-2.943579,12.5,-13.6,1589
-15.523107,-3.44139,12.5,-15.9,1588
-17.866217,-3.960845,12.5,-18.3,1585
-20.111698,-4.458656,12.5,-20.6,1586
-22.357178,-4.956467,12.5,-22.899999,1573
-24.602659,-5.454278,12.5,-25.2,1573
-26.848141,-5.952089,12.5,-27.5,1558
-29.09362,-6.4499,12.5,-29.799999,1566
10.886912,-49.107689,102.5,50.3,1740
9.393479,-42.371246,102.5,43.4,1704
8.917313,-40.223396,102.5,41.200001,1748
8.397857,-37.880283,102.5,38.799998,1757
7.92169,-35.732433,102.5,36.599999,1775
7.423879,-33.486954,102.5,34.300001,1765
6.926068,-31.241472,102.5,32,1762
6.428257,-28.995993,102.5,29.700001,1752
5.908801,-26.65288,102.5,27.299999,1752
5.41099,-24.4074,102.5,25,1753
4.913179,-22.161921,102.5,22.700001,1753
4.415368,-19.916439,102.5,20.4,1748
3.917557,-17.670958,102.5,18.1,1730
3.44139,-15.523107,102.5,15.9,1709
2.921935,-13.179996,102.5,13.5,1688
2.424124,-10.934515,102.5,11.2,1687
1.926312,-8.689034,102.5,8.9,1678
1.428501,-6.443553,102.5,6.6,1654
0.93069,-4.198073,102.5,4.3,1634
0.432879,-1.952592,102.5,2,1611
-0.064932,0.292889,102.5,-0.3,1590
-0.562743,2.538369,102.5,-2.6,1562
-1.060554,4.783851,102.5,-4.9,1565
-1.558365,7.029331,102.5,-7.2,1541
-2.07782,9.372442,102.5,-9.600001,1537
-2.553988,11.520293,102.5,-11.8,1515
-3.073442,13.863403,102.5,-14.2,1498
-3.571254,16.108885,102.5,-16.500001,1479
-4.069065,18.354364,102.5,-18.799999,1481
-4.566876,20.599846,102.5,-21.1,1475
-5.064687,22.845325,102.5,-23.399999,1466
-5.562498,25.090809,102.5,-25.700001,1461
-6.060309,27.336288,102.5,-28,1457
-6.55812,29.581768,102.5,-30.299999,1455
-7.055931,31.827248,102.5,-32.599998,1452
-7.575387,34.170361,102.5,-35,1453
-8.073197,36.41584,102.5,-37.299999,1448
-8.549365,38.563694,102.5,-39.500002,1469
-9.090464,41.004433,102.5,-42,1456
-9.588275,43.249912,102.5,-44.299999,1448
-10.042798,45.300137,102.5,-46.400002,1409
-10.540609,47.545616,102.5,-48.700001,1416
-11.060064,49.888725,102.5,-51.099999,1429
